question,ground_truth,generated_answer,context,retrieved_indices,f1_per_question
"What did Ford receive on April 13, 1942?",Ford received a commission as ensign in the US Naval Reserve.,commission as ensign,"Passage 1: The Fords on their wedding day, October 15, 1948

Passage 2: Ford in Navy uniform, 1945

Passage 3: Ford received a commission as ensign in the U.S. Naval Reserve on April 13, 1942. On April 20, he reported for active duty to the V-5 instructor school at Annapolis, Maryland. After one month of training, he went to Navy Preflight School in Chapel Hill, North Carolina, where he was one of 83 instructors and taught elementary seamanship, ordnance, gunnery, first aid and military drill. In addition, he coached in all nine sports that were offered, but mostly in swimming, boxing and football. During the one year he was at the Preflight School, he was promoted to Lieutenant Junior Grade on June 2, 1942, and to Lieutenant in March 1943.","[2020, 2011, 2010]",0.42857142857142855
Was Ford released from the hospital?,Yes.,Gerald Ford's life.,"Passage 1: * ABC News Special Report - Announcement of President Ford's death.

Passage 2: As Ford approached his ninetieth year, he began to experience significant health problems associated with old age. He suffered two minor strokes at the 2000 Republican National Convention, but made a quick recovery.  Gerald Ford recovering after strokes. BBC, August 2, 2000.  Retrieved on December 31, 2006.  In January 2006, he spent 11 days at the Eisenhower Medical Center near his residence at Rancho Mirage, California, for treatment of pneumonia.  Former President Ford, 92, hospitalized with pneumonia. Associated Press, January 17, 2006. Retrieved on October 19, 2007.  On April 23, President George W. Bush visited Ford at his home in Rancho Mirage for a little over an hour. This was Ford's last public appearance and produced the last known public photos, video footage and voice recording. While vacationing in Vail, Colorado, he was hospitalized for two days in July, 2006 for shortness of breath.  Gerald Ford released from hospital. Associated Press, July 26, 2006. Retrieved on December 31, 2006.  On August 15 Ford was admitted to St. Mary's Hospital of the Mayo Clinic in Rochester, Minnesota for testing and evaluation. On August 21, it was reported that he had been fitted with a pacemaker. On August 25, he underwent an angioplasty procedure at the Mayo Clinic, according to a statement from an assistant to Ford. On August 28, Ford was released from the hospital and returned with his wife Betty to their California home. On October 13, he was scheduled to attend the dedication of a building of his namesake, the Gerald R. Ford School of Public Policy, but due to poor health and on the advice of his doctors he did not attend, much to his personal disappointment. The previous day, on October 12, however, Ford entered the hospital yet again for undisclosed tests at the Eisenhower Medical Center;  Former President Ford in hospital for tests. Associated Press via CNN  he was released on October 16. As a result of his frail health it was announced on October 17 that Ford was considering selling his home near Vail due to the uncertainty as to whether he would be able to return. Those that saw him during the last five months of his life said that he looked frailer than ever and that it appeared his body was slowly failing him, and by November 2006 he was confined to a hospital bed in his study.  CNN Transcript December 26, 2006 11:00PM CST  On November 12, 2006 upon surpassing Ronald Reagan to become the longest lived president in US history he released his last public statement:

Passage 3: Ford died at the age of 93 years and 165 days on December 26, 2006 at 6:45 p.m Pacific Standard Time (02:45, December 27, UTC) at his home in Rancho Mirage, California of  arteriosclerotic cerebrovascular disease and diffuse arteriosclerosis.","[2127, 2095, 2103]",0.0
"Was Ford interred at his Presidential Museum in Grand Rapids, Michigan?",Yes.,Yes,"Passage 1: After the service, Ford was interred at his Presidential Museum in Grand Rapids, Michigan.

Passage 2: President Ford's tomb at his Presidential Museum in Grand Rapids, Michigan.

Passage 3: In 1977, he established the Gerald R. Ford Institute of Public Policy at Albion College in Albion, Michigan. This institute is designed to give undergraduates training in public policy. In 1981, he opened the Gerald R. Ford Museum in Grand Rapids, and the Gerald R. Ford Library in Ann Arbor, Michigan.     In 1999, Ford was awarded the Presidential Medal of Freedom by Bill Clinton.     In 2001, he was presented with the John F. Kennedy Profiles in Courage Award for his decision to pardon Richard Nixon to stop the agony America was experiencing over Watergate.     In retirement Ford also devoted much time to his love of golf, often playing both privately and in public events with comedian Bob Hope, a longtime friend.","[2109, 2106, 2090]",0.0
Is Ford one of only four former Presidents to live to 90 or more years of age ?,Yes.,Ford is one of only four former Presidents to live to 90 or more years of age,"Passage 1: *Ford is one of only four former Presidents to live to 90 or more years of age. The others are Ronald Reagan (93), John Adams (90) and Herbert Hoover (90).

Passage 2: *Ford was the third longest lived Vice President at the age of 93. The two oldest were John Nance Garner, 98, and Levi P. Morton, 96.

Passage 3: *Ford had the second longest post-presidency (29 years and 11 months) after Herbert Hoover (31 years and 7 months).","[2102, 2098, 2100]",0.0
Was Ford the last surviving member of the Warren Commission ?,Yes.,Ford was the last surviving member.,"Passage 1: *Ford was the last surviving member of the Warren Commission. Wilson, Jeff.  Former President Gerald Ford Dies at 93. Associated Press. December 27, 2006. Also available  here.  Retrieved on December 31, 2006.

Passage 2: Gerald R. Ford

Passage 3: Secret Service agents rush Ford to safety after an assassination attempt by Lynette Fromme.","[2101, 2085, 2069]",0.0
"Did Grand Rapids supporters not urge him to take on Bartel J. Jonkman , the incumbent Republican congressman ?",No.,Grand Rapids supporters did not urge him to take on Bartel J. Jonkman,"Passage 1: Following his return from the war, Ford became active in local Republican politics. Grand Rapids supporters urged him to take on Bartel J. Jonkman, the incumbent Republican congressman. Ford had changed his view of the world as a result of his military service; ""I came back a converted internationalist"", Ford stated, ""and of course our congressman at that time was an avowed, dedicated isolationist. And I thought he ought to be replaced. Nobody thought I could win. I ended up winning two to one."" 

Passage 2: Ford was a member of the House of Representatives for twenty-four years, holding the Grand Rapids congressional district seat from 1949 to 1973. It was a tenure largely notable for its modesty. As an editorial in The New York Times described him, Ford ""saw himself as a negotiator and a reconciler, and the record shows it: he did not write a single piece of major legislation in his entire career.""    

Passage 3: In 1965, Republican members of the House elected Ford as its Minority Leader. During the eight years (1965 1973) he served as Minority Leader, Ford won many friends in the House because of his fair leadership and inoffensive personality.  But President Johnson disliked Ford for the congressman's frequent attacks on the administration's ""Great Society"" programs as being unneeded or wasteful, and for his criticism of the President's handling of the Vietnam War. As Minority Leader in the House, Ford appeared in a popular series of televised press conferences with famed Illinois Senator Everett Dirksen, in which they proposed Republican alternatives to Johnson's policies. Many in the press jokingly called this ""The Ev and Jerry Show"".     Johnson said of Ford at the time, ""That Gerald Ford. He can't fart and chew gum at the same time.""     The press, used to sanitizing LBJ's salty language, reported this as ""Gerald Ford can't walk and chew gum at the same time.""","[2025, 2027, 2033]",0.0
Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,They did claim Ford's pardon was quid pro quo.,Ford's way.,"Passage 1: The Nixon pardon was highly controversial. Critics derided the move and claimed, a ""corrupt bargain"" had been struck between the men.  They claimed Ford's pardon was quid pro quo in exchange for Nixon's resignation that elevated Ford to the Presidency. Nixon's Chief of Staff, Alexander Haig, did in fact offer a deal to Ford. Bob Woodward, in his book Shadow, recounts that Haig entered Ford's office on August 1, 1974 while Ford was still Vice President and Nixon had yet to resign. Haig told Ford that there were three pardon options: (1) Nixon could pardon himself and resign, (2) Nixon could pardon his aides involved in Watergate and then resign, or (3) Nixon could agree to leave in return for an agreement that the new president would pardon him. After listing these options, Haig handed Ford various papers; one of these papers included a discussion of the president's legal authority to pardon and another sheet was a draft pardon form that only needed Ford's signature and Nixon's name to make it legal. Woodward summarizes the setting between Haig and Ford as follows: ""Even if Haig offered no direct words on his views, the message was almost certainly sent. An emotional man, Haig was incapable of concealing his feelings; those who worked closely with him rarely found him ambiguous.""

Passage 2: On September 8, 1974, Ford issued Proclamation 4311, which gave Nixon a full and unconditional pardon for any crimes he may have committed against the United States while President.        In a televised broadcast to the nation, Ford explained that he felt the pardon was in the best interests of the country and that the Nixon family's situation ""is a tragedy in which we all have played a part.  It could go on and on and on, or someone must write the end to it. I have concluded that only I can do that, and if I can, I must.""    At the same time as he announced the Nixon pardon, Ford introduced a conditional amnesty program for Vietnam War draft dodgers who had fled to countries such as Canada.     Unconditional amnesty, however, did not come about until the Jimmy Carter Presidency.

Passage 3: Despite the situation, Ford never accepted the offer from Haig and later decided to pardon Nixon on his own terms. Regardless, historians believe the controversy was one of the major reasons Ford lost the election in 1976, an observation with which Ford concurred.    In an editorial at the time, The New York Times stated that the Nixon pardon was ""a profoundly unwise, divisive and unjust act"" that in a stroke had destroyed the new president's ""credibility as a man of judgment, candor and competence.""","[2042, 2041, 2043]",0.1818181818181818
Does Ghana have twice the per capita output of the poorer countries in West Africa?,yes,yes,"Passage 1: Well endowed with natural resources, Ghana has twice the per capita output of the poorer countries in West Africa. Even so, Ghana remains heavily dependent on international financial and technical assistance. Gold, timber, cocoa, diamond, bauxite, and manganese exports are major sources of foreign exchange.  The World Factbook   An oilfield which is reported to contain up to 3 billion barrels of light oil was discovered in 2007.

Passage 2: The domestic economy continues to revolve around subsistence agriculture, which accounts for 50% of GDP and employs 85% of the work force,  The World Factbook  mainly small landholders. Ghana made progress under a three-year structural adjustment programme in cooperation with the IMF.  On the negative side, public sector wage increases and regional peacekeeping commitments have led to continued inflationary deficit financing, depreciation of the Cedi, and rising public discontent with Ghana's austerity measures. Even so, Ghana remains one of the more economically sound countries in all of Africa.

Passage 3: Regions of Ghana","[1349, 1350, 1354]",1.0
Is English Ghana's official language?,yes,English is the country's official language,"Passage 1: More than 100 languages and dialects are spoken in Ghana. English is the country's official language and predominates government and business affairs. It is also the standard language used for educational instruction. Native Ghanaian languages are divided into two linguistic subfamilies of the Niger-Congo language family. Languages belonging to the Kwa subfamily are found predominantly to the south of the Volta River, while those belonging to the Gur subfamily are found predominantly to the north. The Kwa group, which is spoken by about 75% of the country's population, includes the Akan, Ga-Dangme, and Ewe languages. The Gur group includes the Gurma, Grusi, and Dagbani languages.

Passage 2: Nine languages have the status of government-sponsored languages: Akan, Dagaare/Wale, Dagbani, Dangme, Ewe, Ga, Gonja, Kasem, and Nzema. Though not an official language, Hausa is the lingua-franca spoken among Ghana's Muslims, who comprise about 14% of the population.

Passage 3: Regions of Ghana","[1361, 1362, 1354]",0.0
Did the Dutch build the Elmina Castle?,No,no,"Passage 1: In 1482, the Portuguese built the Elmina Castle. Their aim was to trade in gold, ivory and slaves. In 1481 King John II of Portugal sent Diogo d'Azambuja to build this castle.

Passage 2: In 1598 the Dutch joined them, and built forts at Komenda and Kormantsi. In 1637 they captured the castle from the Portuguese and that of Axim in 1642 (Fort St Anthony). Other European traders joined in by the mid 17th century. These were the English, Danes and Swedes. The coastline was dotted by more than 30 forts and castles built by the Dutch, British and the Danish merchants, the highest concentration of European military architecture outside of Europe. By the latter part of 19th century the Dutch and the British were the only traders left and when the Dutch withdrew in 1874, Britain made the Gold Coast a crown colony.

Passage 3: Bran Castle built in 1212, is commonly known as Dracula's Castle and is situated in the centre of present-day Romania.The first documentary attestation of Bran Castle is the act issued by Louis I of Hungary on November 19, 1377, giving the Saxons of Kronstadt (BraÅov or BrassÃ³) the privilege to build the Citadel.","[1342, 1343, 3065]",1.0
When did Ghana achieve independence from the United Kingdom?,1957,1957,"Passage 1: Upon achieving independence from the United Kingdom in 1957, Peter N. Stearns and William Leonard Langer. The Encyclopedia of World History: Ancient, Medieval, and Modern, Chronologically Arranged, 2001. Page 1050.  the name Ghana was chosen for the new nation to reflect the ancient Empire of Ghana that once extended throughout much of western Africa.

Passage 2: Ghana was inhabited in pre-colonial times by a number of ancient kingdoms, including the Ga Adangbes on the eastern coast, inland Empire of Ashanti and various Fante states along the coast and inland. Trade with European states flourished after contact with the Portuguese in the 15th century, and the British established a crown colony, Gold Coast, in 1874. MacLean, Iain. Rational Choice and British Politics: An Analysis of Rhetoric and Manipulation from Peel to Blair, 2001. Page 76.

Passage 3: Ghana is a republic and member of the Commonwealth of Nations. Its head of state is President John Agyekum Kufuor, the ninth leader of the country since independence. The government sits at Osu Castle. The Parliament of Ghana is unicameral and dominated by two main parties, the New Patriotic Party and National Democratic Congress.","[1335, 1334, 1348]",1.0
How many regions is Ghana divided into?,10,10,"Passage 1: Ghana is a divided into 10 regions, subdivided into a total of 138 districts. The regions are:

Passage 2: Regions of Ghana

Passage 3: Map of Ghana","[1355, 1354, 1356]",1.0
Who is the head of state of Ghana?,President John Agyekum Kofuor,President John Agyekum Kufuor,"Passage 1: Ghana is a republic and member of the Commonwealth of Nations. Its head of state is President John Agyekum Kufuor, the ninth leader of the country since independence. The government sits at Osu Castle. The Parliament of Ghana is unicameral and dominated by two main parties, the New Patriotic Party and National Democratic Congress.

Passage 2: Regions of Ghana

Passage 3: ; Ghana News","[1348, 1354, 1366]",0.75
What is the dominant religion in Ghana?,Christian,Christian,"Passage 1: Religions: Christian 63%, African beliefs 21%, Muslim 16%,  Facts on People of Ghana, accessed July 13, 2006

Passage 2: Regions of Ghana

Passage 3: Map of Ghana","[1360, 1354, 1356]",1.0
What are the two subfamilies of the Native Ghanaian languages?,Kwa and Gur,Kwa and Gur,"Passage 1: More than 100 languages and dialects are spoken in Ghana. English is the country's official language and predominates government and business affairs. It is also the standard language used for educational instruction. Native Ghanaian languages are divided into two linguistic subfamilies of the Niger-Congo language family. Languages belonging to the Kwa subfamily are found predominantly to the south of the Volta River, while those belonging to the Gur subfamily are found predominantly to the north. The Kwa group, which is spoken by about 75% of the country's population, includes the Akan, Ga-Dangme, and Ewe languages. The Gur group includes the Gurma, Grusi, and Dagbani languages.

Passage 2: Nine languages have the status of government-sponsored languages: Akan, Dagaare/Wale, Dagbani, Dangme, Ewe, Ga, Gonja, Kasem, and Nzema. Though not an official language, Hausa is the lingua-franca spoken among Ghana's Muslims, who comprise about 14% of the population.

Passage 3: Regions of Ghana","[1361, 1362, 1354]",1.0
What is the weather like at Lake Volta?,Warm and comparatively dry,tropical,"Passage 1: The climate is tropical. The eastern coastal belt is warm and comparatively dry (see Dahomey Gap); the southwest corner, hot and humid; and the north, hot and dry. Lake Volta, the world's largest artificial lake, extends through large portions of eastern Ghana.

Passage 2: ;Geography and climate

Passage 3: Lake Bucura in the Retezat Mountains","[1358, 2367, 3094]",0.0
Is Ghana in Asia?,no,no,"Passage 1: Regions of Ghana

Passage 2: Map of Ghana

Passage 3: ; Ghana News","[1354, 1356, 1366]",1.0
Is English the official language?,yes,Canada's two official languages are English and French,"Passage 1: Canada's two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories.

Passage 2: The national language of Singapore is Malay for historical reasons, and it is used in the national anthem, ""Majulah Singapura"". The official languages are English, Mandarin, Malay and Tamil. English has been promoted as the country's language of administration since independence. The English used is primarily based on British English, with some American English influences.  The use of English became widespread in Singapore after it was implemented as a first language medium in the education system, and English is the most common language in Singaporean literature.  Public signs and official publications are in English, although there are translated versions in other official languages. However, the majority of the population speak a localised hybrid form of English known as Singlish (""Singapore English""), which has many creole-like characteristics, incorporating vocabulary and grammar from Standard English, various Chinese dialects, Malay and Indian languages. The government has consistently tried to discourage the use of Singlish in its ""Speak Good English"" campaigns.

Passage 3: English and French are the mother tongues of 59.7% and 23.2% of the population respectively,    and the languages most spoken at home by 68.3% and 22.3% of the population respectively.    98.5% of Canadians speak English or French (English only: 67.5%, French only: 13.3%, both: 17.7%).    English and French Official Language Communities, defined by First Official Language Spoken, constitute 73.0% and 23.6% of the population.","[2357, 2772, 2358]",0.0
Is Ghana's head of state John Agyekum Kufuor?,yes,yes,"Passage 1: Ghana is a republic and member of the Commonwealth of Nations. Its head of state is President John Agyekum Kufuor, the ninth leader of the country since independence. The government sits at Osu Castle. The Parliament of Ghana is unicameral and dominated by two main parties, the New Patriotic Party and National Democratic Congress.

Passage 2: ; Ghana News

Passage 3: Nkrumah was overthrown by a supported CIA-backed coup Interview with John Stockwell in Pandora's Box: Black Power (Adam Curtis, BBC Two, 22 June 1992)        On Nkrumah assassination by CIA: Gaines, Kevin (2006) American Africans in Ghana, Black expatriates and the Civil Rights Era, The University of North Carolina Press, Chapel Hill. . A series of subsequent coups ended with the ascension to power of Flight Lieutenant Jerry Rawlings in 1981. These changes resulted in the suspension of the constitution in 1981 and the banning of political parties. A new constitution, restoring multi-party politics, was promulgated in 1992, and Rawlings was elected as president in the free and fair elections of that year and again won the elections 1996 to serve his second term. The constitution prohibited him from running for a third term. John Kufuor, the current president, is now serving his second term, which ends in 2008 where another election will be held to elect a new president. The year 2007 marks Ghana's Golden Jubilee celebration of its 50-year anniversary, which was on March 6th, 1957.","[1348, 1366, 1347]",1.0
What does the word Ghana mean?,warrior king,warrior king,"Passage 1: The Republic of Ghana is a country in West Africa. It borders CÃ´te d'Ivoire (also known as Ivory Coast) to the west, Burkina Faso to the north, Togo to the east, and the Gulf of Guinea to the south. The word ""Ghana"" means ""Warrior King"", Jackson, John G. Introduction to African Civilizations, 2001. Page 201.  and was the source of the name ""Guinea"" (via French Guinoye) used to refer to the West African coast (as in Gulf of Guinea).

Passage 2: Regions of Ghana

Passage 3: Map of Ghana","[1333, 1354, 1356]",1.0
Who was Kwame Nkrumah?,founder and first president,the constitution prohibited him from running for a third term,"Passage 1: Formed from the merger of the British colony Gold Coast, The Empire of Ashanti and the British Togoland trust territory by a UN sponsored plebiscite, Ghana became the first democratic sub-Sahara country in colonial Africa to gain its independence in 1957. Kwame Nkrumah, founder and first president of the modern Ghanaian state, was not only an African anti-colonial leader but also one with a dream of a united Africa which would not drift into neo-colonialism. He was the first African head of state to espouse Pan-Africanism, an idea he came into contact with during his studies at Lincoln University in Pennsylvania (United States), at the time when Marcus Garvey was becoming famous for his ""Back to Africa Movement."" He merged the dreams of both Marcus Garvey and the celebrated African-American scholar W.E.B. Du Bois into the formation of the modern day Ghana. Ghana's principles of freedom and justice, equity and free education for all, irrespective of ethnic background, religion or creed borrow from Osagyefo Dr Kwame Nkrumah's implementation of Pan-Africanism.

Passage 2: Nkrumah was overthrown by a supported CIA-backed coup Interview with John Stockwell in Pandora's Box: Black Power (Adam Curtis, BBC Two, 22 June 1992)        On Nkrumah assassination by CIA: Gaines, Kevin (2006) American Africans in Ghana, Black expatriates and the Civil Rights Era, The University of North Carolina Press, Chapel Hill. . A series of subsequent coups ended with the ascension to power of Flight Lieutenant Jerry Rawlings in 1981. These changes resulted in the suspension of the constitution in 1981 and the banning of political parties. A new constitution, restoring multi-party politics, was promulgated in 1992, and Rawlings was elected as president in the free and fair elections of that year and again won the elections 1996 to serve his second term. The constitution prohibited him from running for a third term. John Kufuor, the current president, is now serving his second term, which ends in 2008 where another election will be held to elect a new president. The year 2007 marks Ghana's Golden Jubilee celebration of its 50-year anniversary, which was on March 6th, 1957.

Passage 3: [[Image:Kefaya demo.jpg|thumb|Members of the Kifaya democracy movement protesting a fifth term for President Hosni Mubarak. See also  video.]]","[1346, 1347, 881]",0.0
Where is old Ghana in relation to present Ghana?,500 miles north,north,"Passage 1: Regions of Ghana

Passage 2: Map of Ghana

Passage 3: Geographically, the old Ghana is 500 miles north of the present Ghana, and occupied the area between Rivers Senegal and Niger.","[1354, 1356, 1337]",0.5
Who makes up Ghana's Parliament?,the New Patriotic Party and National Democratic Congress,two main parties,"Passage 1: Ghana is a republic and member of the Commonwealth of Nations. Its head of state is President John Agyekum Kufuor, the ninth leader of the country since independence. The government sits at Osu Castle. The Parliament of Ghana is unicameral and dominated by two main parties, the New Patriotic Party and National Democratic Congress.

Passage 2: Regions of Ghana

Passage 3: Map of Ghana","[1348, 1354, 1356]",0.0
What European countries established states in Ghana?,The UK,the British,"Passage 1: Regions of Ghana

Passage 2: Ghana was inhabited in pre-colonial times by a number of ancient kingdoms, including the Ga Adangbes on the eastern coast, inland Empire of Ashanti and various Fante states along the coast and inland. Trade with European states flourished after contact with the Portuguese in the 15th century, and the British established a crown colony, Gold Coast, in 1874. MacLean, Iain. Rational Choice and British Politics: An Analysis of Rhetoric and Manipulation from Peel to Blair, 2001. Page 76.

Passage 3: Map of Ghana","[1354, 1334, 1356]",0.5
Does the Gray Wolf share an ancestry with the domestic dog?,Yes,Most authorities see the wolf as the dog's direct ancestor.,"Passage 1: Dog breeds with recent wolf ancestry:

Passage 2: Much debate has centered on the relationship between the wolf and the domestic dog, though most authorities see the wolf as the dog's direct ancestor. Because the canids have evolved recently and different canids interbreed readily, untangling the relationships has been difficult. But molecular systematics now indicate very strongly that domestic dogs and wolves are closely related, and the domestic dog is now normally classified as a subspecies of the wolf: Canis lupus familiaris. The main differences between wolves and domestic dogs are that wolves have, on average, 20% larger brains, better immune systems, a better sense of smell, and are generally larger than domestic dogs.

Passage 3: Extinct Gray wolves:","[1173, 1098, 1170]",0.0
Do wolf pups tend to have darker fur than adults?,Yes,yes,"Passage 1: Fur coloration varies greatly, running from gray to gray-brown, all the way through the canine spectrum of white, red, brown, and black. These colors tend to mix in many populations to form predominantly blended individuals, though it is certainly not uncommon for an individual or an entire population to be entirely one color (usually all black or all white). A multicolor coat characteristically lacks any clear pattern other than it tends to be lighter on the animal's underside. Fur color sometimes corresponds with a given wolf population's environment; for example, all-white wolves are much more common in areas with perennial snow cover. Aging wolves acquire a grayish tint in their coats.

Passage 2: At birth, wolf pups tend to have darker fur and blue irises that will change to a yellow-gold or orange color when the pups are between 8 and 16 weeks old.    Though extremely unusual, it is possible for an adult wolf to retain its blue-colored irises.

Passage 3: Wolves have bulky coats consisting of two layers. The first layer is made up of tough guard hairs designed to repel water and dirt. The second is a dense, water-resistant undercoat that insulates. The undercoat is shed in the form of large tufts of fur in late spring or early summer (with yearly variations). A wolf will often rub against objects such as rocks and branches to encourage the loose fur to fall out. The undercoat is usually gray regardless of the outer coat's appearance. Wolves have distinct winter and summer pelages that alternate in spring and autumn. Females tend to keep their winter coats further into the spring than males. North American wolves typically have longer, silkier fur than their Eurasian counterparts.","[1031, 1033, 1030]",1.0
Do wolves leave their pack?,Yes,Yes,"Passage 1: The size of the pack may change over time and is controlled by several factors, including habitat, personalities of individual wolves within a pack, and food supply. Packs can contain between 2 and 20 wolves, though 8 is a more typical size.    New packs are formed when a wolf leaves its birth pack, finds a mate, and claims a territory. Lone wolves searching for other individuals can travel very long distances seeking out suitable territories. Dispersing individuals must avoid the territories of other wolves because intruders on occupied territories are chased away or killed. It is taboo for one wolf to travel into another wolf's territory unless invited. Most dogs, except perhaps large, specially bred attack dogs, do not stand much of a chance against a pack of wolves protecting its territory from an intrusion.

Passage 2: Wolves acting unusually within the pack, such as epileptic pups or thrashing adults crippled by a trap or a gunshot, are usually killed by other members of their own pack.

Passage 3: Usually, only the alpha pair is able to rear a litter of pups successfully. Other wolves in a pack may breed, but when resources are limited, time, devotion, and preference will be given to the alpha pair's litter. Therefore, non-alpha parents of other litters within a single pack may lack the means to raise their pups to maturity of their own accord. All wolves in a pack assist in raising wolf pups. Some mature individuals choosing not to disperse may stay in their original packs so as to reinforce it and help rear more pups.","[1078, 1079, 1077]",1.0
What kinds of coats do wolves have?,bulky coats with two layers,bulky,"Passage 1: Wolves have bulky coats consisting of two layers. The first layer is made up of tough guard hairs designed to repel water and dirt. The second is a dense, water-resistant undercoat that insulates. The undercoat is shed in the form of large tufts of fur in late spring or early summer (with yearly variations). A wolf will often rub against objects such as rocks and branches to encourage the loose fur to fall out. The undercoat is usually gray regardless of the outer coat's appearance. Wolves have distinct winter and summer pelages that alternate in spring and autumn. Females tend to keep their winter coats further into the spring than males. North American wolves typically have longer, silkier fur than their Eurasian counterparts.

Passage 2: Fur coloration varies greatly, running from gray to gray-brown, all the way through the canine spectrum of white, red, brown, and black. These colors tend to mix in many populations to form predominantly blended individuals, though it is certainly not uncommon for an individual or an entire population to be entirely one color (usually all black or all white). A multicolor coat characteristically lacks any clear pattern other than it tends to be lighter on the animal's underside. Fur color sometimes corresponds with a given wolf population's environment; for example, all-white wolves are much more common in areas with perennial snow cover. Aging wolves acquire a grayish tint in their coats.

Passage 3: Wolves are also bred for their fur in a very few locations, but they are considered as a rather problematic animal to breed, and, combined with the low value of the pelt, most fur farms utilize other animals. Wolves' varied coats make it difficult to create fur coats.","[1030, 1031, 1167]",0.33333333333333337
Where do wolves have scent glands?,Helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts.,all over their bodies,"Passage 1: Wolves have scent glands all over their bodies, including at the base of the tail, between toes, and in the eyes, genitalia, and skin.  Pheromones secreted by these glands identify each individual wolf. A dominant wolf will ""rub"" its body against subordinate wolves to mark such wolves as being members of a particular pack. Wolves may also ""paw"" dirt to release pheromones instead of urine marking.

Passage 2: Wolves' heavy reliance on odoriferous signals testifies greatly to their olfactory capabilities. Wolves can detect virtually any scent, including marks, from great distances, and can distinguish among them as well or better than humans can distinguish other humans visually.

Passage 3: Bristled hairs and blunt claws enhance grip on slippery surfaces, and special blood vessels keep paw pads from freezing.    Scent glands located between a wolf's toes leave trace chemical markers behind, helping the wolf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts.  Unlike dogs and coyotes, wolves lack sweat glands on their paw pads. This trait is also present in Eastern Canadian Coyotes which have been shown to have recent wolf ancestry.    Wolves in Israel are unique due to the middle two toes of their paws being fused, a trait originally thought to be unique to the African Wild Dog.","[1071, 1072, 1028]",0.09523809523809523
How much do wolves weigh?,typically varies between 32 and 62 kilograms,32 to 62 kilograms (70 135 pounds,"Passage 1: Wolf weight and size can vary greatly worldwide, tending to increase proportionally with latitude as predicted by Bergmann's Rule. In general, height varies from 0.6 to 0.95 meters (26 38 inches) at the shoulder and weight ranges from 32 to 62 kilograms (70 135 pounds), which together make the gray wolf the largest of all wild canids.    Although rarely encountered, extreme specimens of more than 77 kg (170 lb) have been recorded in Alaska and Canada.    The heaviest wild wolf on record, killed in Alaska in 1939, was 80 kg (175 lb).    The smallest wolves come from the Arabian Wolf subspecies, the females of which may weigh as little as 10 kg (22 lb) at maturity. Females in any given wolf population typically weigh about 20% less than their male counterparts.    Wolves can measure anywhere from 1.3 to 2 meters (4.5 6.5 feet) from nose to the tip of the tail, which itself accounts for approximately one quarter of overall body length.

Passage 2: The gray wolf (Canis lupus), also known as the timber wolf or, simply, wolf, is a mammal of the order Carnivora. The gray wolf is the largest member of the family Canidae and also the most well known of wolves. Its shoulder height ranges from 0.6 to 0.9 meters (26â36 inches) and its weight typically varies between 32 and 62 kilograms (70â135 pounds). As evidenced by studies of DNA sequencing and genetic drift the gray wolf shares a common ancestry with the domestic dog (Canis lupus familiaris).

Passage 3: It is thought that there are around 500 to 600 wolves in Poland, mainly in the east.","[1024, 1020, 1132]",0.42857142857142855
