question,rewritten_question,ground_truth,generated_answer,context,distance,confidence,retrieved_index
Have more than five Presidents lived past the age of 90?,Have more than five Presidents lived past the age of 90?,no,yes,"*Ford is one of only four former Presidents to live to 90 or more years of age. The others are Ronald Reagan (93), John Adams (90) and Herbert Hoover (90).",0.41522494,high,2102
How do kwajalein and eniwetok relate?,How do kwajalein and eniwetok relate?,The Monterey supported landings at both locations.,Information not found in context,"Much of the music of Finland is influenced by traditional Karelian melodies and lyrics, as comprised in the Kalevala. Karelian culture is perceived as the purest expression of the Finnic myths and beliefs, less influenced by Germanic influence, in contrast to Finland's position between the East and the West. Finnish folk music has undergone a roots revival in recent decades, and has become a part of popular music.",1.1964173,low,1682
"What did Ford receive on April 13, 1942?","What did Ford receive on April 13, 1942?",Ford received a commission as ensign in the US Naval Reserve.,Information not found in context,"The Fords on their wedding day, October 15, 1948",0.80924225,low,2020
Was Ford released from the hospital?,Was Ford released from the hospital?,Yes.,no,* ABC News Special Report - Announcement of President Ford's death.,0.7656439,high,2127
"Was Ford interred at his Presidential Museum in Grand Rapids, Michigan?","Was Ford interred at his Presidential Museum in Grand Rapids, Michigan?",Yes.,yes,"After the service, Ford was interred at his Presidential Museum in Grand Rapids, Michigan.",0.13121672,high,2109
Is Ford one of only four former Presidents to live to 90 or more years of age ?,Is Ford one of only four former Presidents to live to 90 or more years of age?,Yes.,yes,"*Ford is one of only four former Presidents to live to 90 or more years of age. The others are Ronald Reagan (93), John Adams (90) and Herbert Hoover (90).",0.21344265,high,2102
Was Ford the last surviving member of the Warren Commission ?,Was Ford the last surviving member of the Warren Commission?,Yes.,yes,"*Ford was the last surviving member of the Warren Commission. Wilson, Jeff.  Former President Gerald Ford Dies at 93. Associated Press. December 27, 2006. Also available  here.  Retrieved on December 31, 2006.",0.34953457,high,2101
"Did Grand Rapids supporters not urge him to take on Bartel J. Jonkman , the incumbent Republican congressman ?",Did Grand Rapids supporter Bartel J. Jonkman ?,No.,Information not found in context,"Following his return from the war, Ford became active in local Republican politics. Grand Rapids supporters urged him to take on Bartel J. Jonkman, the incumbent Republican congressman. Ford had changed his view of the world as a result of his military service; ""I came back a converted internationalist"", Ford stated, ""and of course our congressman at that time was an avowed, dedicated isolationist. And I thought he ought to be replaced. Nobody thought I could win. I ended up winning two to one."" ",0.89637876,low,2025
Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,They did claim Ford's pardon was quid pro quo.,No,"The Nixon pardon was highly controversial. Critics derided the move and claimed, a ""corrupt bargain"" had been struck between the men.  They claimed Ford's pardon was quid pro quo in exchange for Nixon's resignation that elevated Ford to the Presidency. Nixon's Chief of Staff, Alexander Haig, did in fact offer a deal to Ford. Bob Woodward, in his book Shadow, recounts that Haig entered Ford's office on August 1, 1974 while Ford was still Vice President and Nixon had yet to resign. Haig told Ford that there were three pardon options: (1) Nixon could pardon himself and resign, (2) Nixon could pardon his aides involved in Watergate and then resign, or (3) Nixon could agree to leave in return for an agreement that the new president would pardon him. After listing these options, Haig handed Ford various papers; one of these papers included a discussion of the president's legal authority to pardon and another sheet was a draft pardon form that only needed Ford's signature and Nixon's name to make it legal. Woodward summarizes the setting between Haig and Ford as follows: ""Even if Haig offered no direct words on his views, the message was almost certainly sent. An emotional man, Haig was incapable of concealing his feelings; those who worked closely with him rarely found him ambiguous.""",0.4473645,high,2042
Does Ghana have twice the per capita output of the poorer countries in West Africa?,Ghana has twice the per capita output of the poorer countries in West Africa.,yes,well endowed with natural resources,"Well endowed with natural resources, Ghana has twice the per capita output of the poorer countries in West Africa. Even so, Ghana remains heavily dependent on international financial and technical assistance. Gold, timber, cocoa, diamond, bauxite, and manganese exports are major sources of foreign exchange.  The World Factbook   An oilfield which is reported to contain up to 3 billion barrels of light oil was discovered in 2007.",0.66230786,high,1349
Is English Ghana's official language?,Is English Ghana's official language?,yes,Yes,"More than 100 languages and dialects are spoken in Ghana. English is the country's official language and predominates government and business affairs. It is also the standard language used for educational instruction. Native Ghanaian languages are divided into two linguistic subfamilies of the Niger-Congo language family. Languages belonging to the Kwa subfamily are found predominantly to the south of the Volta River, while those belonging to the Gur subfamily are found predominantly to the north. The Kwa group, which is spoken by about 75% of the country's population, includes the Akan, Ga-Dangme, and Ewe languages. The Gur group includes the Gurma, Grusi, and Dagbani languages.",0.6334404,high,1361
Did the Dutch build the Elmina Castle?,Did the Dutch build the Elmina Castle?,No,no,"In 1482, the Portuguese built the Elmina Castle. Their aim was to trade in gold, ivory and slaves. In 1481 King John II of Portugal sent Diogo d'Azambuja to build this castle.",0.73772675,high,1342
When did Ghana achieve independence from the United Kingdom?,When did Ghana achieve independence from the United Kingdom?,1957,1957,"Upon achieving independence from the United Kingdom in 1957, Peter N. Stearns and William Leonard Langer. The Encyclopedia of World History: Ancient, Medieval, and Modern, Chronologically Arranged, 2001. Page 1050.  the name Ghana was chosen for the new nation to reflect the ancient Empire of Ghana that once extended throughout much of western Africa.",0.6254276,high,1335
How many regions is Ghana divided into?,How many regions is Ghana divided into?,10,10,"Ghana is a divided into 10 regions, subdivided into a total of 138 districts. The regions are:",0.32663667,high,1355
Who is the head of state of Ghana?,Who is the head of state of Ghana?,President John Agyekum Kofuor,President John Agyekum Kufuor,"Ghana is a republic and member of the Commonwealth of Nations. Its head of state is President John Agyekum Kufuor, the ninth leader of the country since independence. The government sits at Osu Castle. The Parliament of Ghana is unicameral and dominated by two main parties, the New Patriotic Party and National Democratic Congress.",0.47544605,high,1348
What is the dominant religion in Ghana?,What is the dominant religion in Ghana?,Christian,Christian,"Religions: Christian 63%, African beliefs 21%, Muslim 16%,  Facts on People of Ghana, accessed July 13, 2006",0.62667406,high,1360
What are the two subfamilies of the Native Ghanaian languages?,What are the two subfamilies of the Native Ghanaian languages?,Kwa and Gur,Kwa and Gur,"More than 100 languages and dialects are spoken in Ghana. English is the country's official language and predominates government and business affairs. It is also the standard language used for educational instruction. Native Ghanaian languages are divided into two linguistic subfamilies of the Niger-Congo language family. Languages belonging to the Kwa subfamily are found predominantly to the south of the Volta River, while those belonging to the Gur subfamily are found predominantly to the north. The Kwa group, which is spoken by about 75% of the country's population, includes the Akan, Ga-Dangme, and Ewe languages. The Gur group includes the Gurma, Grusi, and Dagbani languages.",0.6994706,high,1361
What is the weather like at Lake Volta?,What is the weather like at Lake Volta?,Warm and comparatively dry,tropical,"The climate is tropical. The eastern coastal belt is warm and comparatively dry (see Dahomey Gap); the southwest corner, hot and humid; and the north, hot and dry. Lake Volta, the world's largest artificial lake, extends through large portions of eastern Ghana.",0.7373362,high,1358
Is Ghana in Asia?,Is Ghana in Asia?,no,no,Regions of Ghana,0.5086613,high,1354
Is English the official language?,Is English the official language?,yes,Information not found in context,"Canada's two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories.",0.935267,low,2357
Is Ghana's head of state John Agyekum Kufuor?,Is Ghana's head of state John Agyekum Kufuor?,yes,yes,"Ghana is a republic and member of the Commonwealth of Nations. Its head of state is President John Agyekum Kufuor, the ninth leader of the country since independence. The government sits at Osu Castle. The Parliament of Ghana is unicameral and dominated by two main parties, the New Patriotic Party and National Democratic Congress.",0.5400887,high,1348
What does the word Ghana mean?,What does the word Ghana mean?,warrior king,warrior king,"The Republic of Ghana is a country in West Africa. It borders CÃ´te d'Ivoire (also known as Ivory Coast) to the west, Burkina Faso to the north, Togo to the east, and the Gulf of Guinea to the south. The word ""Ghana"" means ""Warrior King"", Jackson, John G. Introduction to African Civilizations, 2001. Page 201.  and was the source of the name ""Guinea"" (via French Guinoye) used to refer to the West African coast (as in Gulf of Guinea).",0.6453775,high,1333
Who was Kwame Nkrumah?,Who was Kwame Nkrumah?,founder and first president,Information not found in context,"Formed from the merger of the British colony Gold Coast, The Empire of Ashanti and the British Togoland trust territory by a UN sponsored plebiscite, Ghana became the first democratic sub-Sahara country in colonial Africa to gain its independence in 1957. Kwame Nkrumah, founder and first president of the modern Ghanaian state, was not only an African anti-colonial leader but also one with a dream of a united Africa which would not drift into neo-colonialism. He was the first African head of state to espouse Pan-Africanism, an idea he came into contact with during his studies at Lincoln University in Pennsylvania (United States), at the time when Marcus Garvey was becoming famous for his ""Back to Africa Movement."" He merged the dreams of both Marcus Garvey and the celebrated African-American scholar W.E.B. Du Bois into the formation of the modern day Ghana. Ghana's principles of freedom and justice, equity and free education for all, irrespective of ethnic background, religion or creed borrow from Osagyefo Dr Kwame Nkrumah's implementation of Pan-Africanism.",0.7989374,low,1346
Where is old Ghana in relation to present Ghana?,Where is Ghana in relation to present Ghana?,500 miles north,Africa,Regions of Ghana,0.35933876,high,1354
Who makes up Ghana's Parliament?,What is the name of Ghana's Parliament?,the New Patriotic Party and National Democratic Congress,The Parliament of Ghana,"Ghana is a republic and member of the Commonwealth of Nations. Its head of state is President John Agyekum Kufuor, the ninth leader of the country since independence. The government sits at Osu Castle. The Parliament of Ghana is unicameral and dominated by two main parties, the New Patriotic Party and National Democratic Congress.",0.5960182,high,1348
What European countries established states in Ghana?,What European countries established states in Ghana?,The UK,Ghana,Regions of Ghana,0.6628989,high,1354
Does the Gray Wolf share an ancestry with the domestic dog?,Does the Gray Wolf share an ancestry with the domestic dog?,Yes,yes,Dog breeds with recent wolf ancestry:,0.41277546,high,1173
Do wolf pups tend to have darker fur than adults?,Do wolf pups tend to have darker fur than adults?,Yes,no,"Fur coloration varies greatly, running from gray to gray-brown, all the way through the canine spectrum of white, red, brown, and black. These colors tend to mix in many populations to form predominantly blended individuals, though it is certainly not uncommon for an individual or an entire population to be entirely one color (usually all black or all white). A multicolor coat characteristically lacks any clear pattern other than it tends to be lighter on the animal's underside. Fur color sometimes corresponds with a given wolf population's environment; for example, all-white wolves are much more common in areas with perennial snow cover. Aging wolves acquire a grayish tint in their coats.",0.6357648,high,1031
Do wolves leave their pack?,Do wolves leave their pack?,Yes,Yes,"The size of the pack may change over time and is controlled by several factors, including habitat, personalities of individual wolves within a pack, and food supply. Packs can contain between 2 and 20 wolves, though 8 is a more typical size.    New packs are formed when a wolf leaves its birth pack, finds a mate, and claims a territory. Lone wolves searching for other individuals can travel very long distances seeking out suitable territories. Dispersing individuals must avoid the territories of other wolves because intruders on occupied territories are chased away or killed. It is taboo for one wolf to travel into another wolf's territory unless invited. Most dogs, except perhaps large, specially bred attack dogs, do not stand much of a chance against a pack of wolves protecting its territory from an intrusion.",0.5468763,high,1078
What kinds of coats do wolves have?,What kind of coats do wolves have?,bulky coats with two layers,bulky,"Wolves have bulky coats consisting of two layers. The first layer is made up of tough guard hairs designed to repel water and dirt. The second is a dense, water-resistant undercoat that insulates. The undercoat is shed in the form of large tufts of fur in late spring or early summer (with yearly variations). A wolf will often rub against objects such as rocks and branches to encourage the loose fur to fall out. The undercoat is usually gray regardless of the outer coat's appearance. Wolves have distinct winter and summer pelages that alternate in spring and autumn. Females tend to keep their winter coats further into the spring than males. North American wolves typically have longer, silkier fur than their Eurasian counterparts.",0.43779296,high,1030
Where do wolves have scent glands?,Where do wolves have scent glands?,Helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts.,all over their bodies,"Wolves have scent glands all over their bodies, including at the base of the tail, between toes, and in the eyes, genitalia, and skin.  Pheromones secreted by these glands identify each individual wolf. A dominant wolf will ""rub"" its body against subordinate wolves to mark such wolves as being members of a particular pack. Wolves may also ""paw"" dirt to release pheromones instead of urine marking.",0.45063752,high,1071
How much do wolves weigh?,How much do wolves weigh?,typically varies between 32 and 62 kilograms,from 32 to 62 kilograms,"Wolf weight and size can vary greatly worldwide, tending to increase proportionally with latitude as predicted by Bergmann's Rule. In general, height varies from 0.6 to 0.95 meters (26 38 inches) at the shoulder and weight ranges from 32 to 62 kilograms (70 135 pounds), which together make the gray wolf the largest of all wild canids.    Although rarely encountered, extreme specimens of more than 77 kg (170 lb) have been recorded in Alaska and Canada.    The heaviest wild wolf on record, killed in Alaska in 1939, was 80 kg (175 lb).    The smallest wolves come from the Arabian Wolf subspecies, the females of which may weigh as little as 10 kg (22 lb) at maturity. Females in any given wolf population typically weigh about 20% less than their male counterparts.    Wolves can measure anywhere from 1.3 to 2 meters (4.5 6.5 feet) from nose to the tip of the tail, which itself accounts for approximately one quarter of overall body length.",0.54904056,high,1024
Why do wolves howl?,Why do wolves howl?,"Howling helps pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances. Howling also helps to call pack members to a specific location. Howling can also serve as a declaration of territory, as shown in a dominant wolf&apos;s tendency to respond to a human imitation of a ""rival"" wolf in an area the wolf considers its own. ",for the same reasons they normally bark,"Growling, while teeth are bared, is the most visual and effective warning wolves use. Wolf growls have a distinct, deep, bass-like quality, and are often used to threaten rivals, though not necessarily to defend themselves. Wolves also growl at other wolves while being aggressively dominant. Wolves bark when nervous or when they want to warn other wolves of danger. Wolves bark very discreetly, and will not generally bark loudly or repeatedly as dogs do; rather, they use a low-key, breathy ""whuf"" sound to immediately get attention from other wolves. Wolves also ""bark-howl"" by adding a brief howl to the end of a bark. Wolves bark-howl for the same reasons they normally bark. Generally, pups bark and bark-howl much more frequently than adults, using these vocalizations to cry for attention, care, or food. A lesser known sound is the rally. Wolves will gather as a group and, amidst much tail-wagging and muzzle licking, emit a high-pitched wailing noise interspersed with something similar (but not the same as) a bark. Rallying is often a display of submission to an alpha by the other wolves.  Rally to Seneca + important information about Norwegian wolves, Wolfpaper Picture Archive (February 7, 2001)  Wolves also whimper, usually when submitting to other wolves. Wolf pups whimper when they need a reassurance of security from their parents or other wolves.",0.5850003,high,1068
What is surplus killing?,What is surplus killing?,Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting.,killing of several prey animals too numerous to eat at one sitting,"Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting. During a surplus-kill, a predator's killing instinct is continually sparked off by the stimuli of so many prey animals unable to escape, so that the predator cannot stop killing. An instance of surplus killing by wolves was witnessed in Canada's Northwest Territories by researchers coming across 34 neonatal caribou calves, scattered over three square kilometres. The wolves had eaten only a few parts from half the calves and not touched the rest. Wolves sometimes only eat a part of their surplus-killed prey, like the tail or the internal organs.",0.73332554,high,1090
Are Gray Wolves native to North America?,Are Gray Wolves native to North America?,Yes,no,Extinct Gray wolves:,0.41135943,high,1170
Is the Gray Wolf a mammal?,Is the Gray Wolf a mammal?,Yes,yes,Extinct Gray wolves:,0.49245945,high,1170
Are a wolf's teeth its main weapons?,Is a wolf's teeth its main weapon?,Yes,yes,"Wolves and most larger dogs share identical dentition. The maxilla has six incisors, two canines, eight premolars, and four molars. The mandible has six incisors, two canines, eight premolars, and six molars.    The fourth upper premolars and first lower molars constitute the carnassial teeth, which are essential tools for shearing flesh. The long canine teeth are also important, in that they are designed to hold and subdue the prey. Capable of delivering up to 10,000 kPa (1450 lbf/inÂ²) of pressure, a wolf's teeth are its main weapons as well as its primary tools.  Therefore, any injury to the jaw line or teeth could devastate a wolf, dooming it to starvation or incapacity.",0.56439567,high,1036
Are wolves built for stamina?,Are wolves built for endurance?,Yes,yes,"Wolves are built for stamina, possessing features ideal for long-distance travel. Their narrow chests and powerful backs and legs facilitate efficient locomotion. They are capable of covering several miles trotting at about a pace of 10 km/h (6 mph), and have been known to reach speeds approaching 65 km/h (40 mph) during a chase.    While thus sprinting, wolves can cover up to 5 meters (16 ft) per bound.",0.6305674,high,1026
Where is the largest gray wolf population thought to be found?,Where is the largest gray wolf population thought to be found?,Kazakhstan,Antarctica,Extinct Gray wolves:,0.5237393,high,1170
To what genus does the gray wolf belong?,What genus does the gray wolf belong to?,Canis,Canis,"The gray wolf is a member of the genus Canis, which comprises between 7 and 10 species. It is one of six species termed 'wolf', the others being the Red Wolf (Canis rufus), the Indian Wolf (Canis indica), the Himalayan wolf (Canis himalayaensis), the Eastern Canadian Wolf (Canis lycaon) and the Ethiopian Wolf (Canis simensis).",0.3742203,high,1092
When do wolves molt?,When do wolves molt?,Late Spring or Early Summer,late spring or early summer,Wolves molt in late spring or early summer.,0.26021236,high,1029
Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,A pack can only suppport one littler per year,death of the alpha,"After the alpha pair, there may also, especially in larger packs, be a beta wolf or wolves, a ""second-in-command"" to the alphas. Betas typically assume a more prominent role in assisting with the upbringing of the alpha pair's litter, often serving as surrogate mothers or fathers while the alpha pair is away. Beta wolves are the most likely to challenge their superiors for the role of the alpha, though some betas seem content with being second, and will sometimes even let lower ranking wolves leapfrog them for the position of alpha should circumstances necessitate such a happening, such as the death of the alpha. More ambitious beta wolves, however, will only wait so long before contending for alpha position unless they choose to disperse and create their own pack instead.",0.66199124,high,1082
What type of tools do biologists use to capture wolves for tagging?,What type of tools do biologists use to capture wolves for tagging?,Darting and Foot hold traps.,Darting and foot hold traps,"Biologists may also trap wolves for research purposes. Darting and foot hold traps are the tools of choice for such professionals, who often use these and similar techniques to fit wolves and other animals with collars holding radio transmitters and to check their health before releasing them. Use of such technology also allows them to keep track of population numbers and dispersal trends, among other things. Radio collars can also be used to monitor wolves when they come near livestock, and to identify a wolf or a pack that preys on livestock, allowing proper action to be prompter and more accurate.",0.61157316,high,1169
"Forward, erect ears and slightly bristle hackles are a sign of what in wolves?",What are the signs of a wolf's erect ears?,Dominance,"lips may curl up or pull back, and the incisors are displayed","* Anger   An angry wolf's ears are erect, and its fur bristles. The lips may curl up or pull back, and the incisors are displayed. The wolf may also arch its back, lash out, or snarl.",0.6319341,high,1053
Was Grover Cleveland born in New York?,Grover Cleveland was born in what city?,no,New York City,Grover Cleveland,0.4830144,high,498
Did Grover Cleveland win the 1884 election?,Did Grover Cleveland win the 1884 election?,yes,yes,"Cleveland won the Presidency in the 1884 election with the unusual combination of support from both Democrats and reform-minded Republicans called ""Mugwumps"" who denounced his opponent, former Senator James G. Blaine of Maine, as corrupt.",0.6751517,high,480
Did Grover Cleveland support women's suffrage?,Did Grover Cleveland support women's suffrage?,No,stout opponent,"Cleveland was a stout opponent of the women's suffrage (voting) movement.  In a 1905 article in The Ladies Home Journal, Cleveland wrote, ""Sensible and responsible women do not want to vote. The relative positions to be assumed by men and women in the working out of our civilization were assigned long ago by a higher intelligence.""  *",0.6053046,high,512
Where was Grover Cleveland married?,Where was Grover Cleveland married?,In the White House,New York,Grover Cleveland,0.5432102,high,498
What did Cleveland die from?,What disease did Cleveland die from?,A heart attack,heart attack,Cleveland died in 1908 from a heart attack with his wife at his side. He is buried in the Princeton Cemetery of the Nassau Presbyterian Church.,0.7272709,high,524
How many years after Cleveland left office did the U.S. win the Spanish-American War?,How many years after Cleveland left office did the U.S. win the Spanish-American War?,One Year,1,"Invoking the Monroe Doctrine in 1895, Cleveland forced Britain to agree to arbitration of a disputed boundary in Venezuela. His administration is credited with the modernization of the United States Navy that allowed the U.S. to decisively win the Spanish-American War in 1898, one year after he left office.",0.6816417,high,510
What did Cleveland's opponents say in 1884 to counter his innocent image?,What did Cleveland's opponents say to counter his innocent image?,That he had fathered an illegitimate child,Information not found in context,Cleveland lived up to his reputation of running an efficient government.  He demanded his administration get rid of extravagances and abuses.,0.9502378,low,485
Who did Cleveland run against in 1884?,Who did Cleveland run against in 1884?,former Senator James G. Blaine of Maine,Information not found in context,"Cleveland won the Presidency in the 1884 election with the unusual combination of support from both Democrats and reform-minded Republicans called ""Mugwumps"" who denounced his opponent, former Senator James G. Blaine of Maine, as corrupt.",0.84118915,low,480
Why did Cleveland want to hide his cancer surgery from the public?,Why did Cleveland want to hide his cancer surgery?,To avoid further market panic,to avoid further market panic,"After Cleveland began his second term in 1893, Doctor R.M. O'Reilly found an ulcerated sore a little less than one inch (24 mm) in diameter on the left lingual surface of Cleveland's hard palate. Initial biopsies were inconclusive; later the samples were proven to be a malignant cancer. Because of the financial depression of the country, Cleveland decided to have surgery performed on the tumor in secrecy to avoid further market panic. The surgery occurred on July 1, to give Cleveland time to make a full recovery in time for an August 7 address to Congress, which had recessed at the end of June.",0.58251405,high,518
Was Grover Cleveland the twenty-seventh president of the United States?,Was Grover Cleveland the twenty-seventh president of the United States?,No.,yes,Grover Cleveland,0.44937825,high,498
Is Grover Cleveland honest?,Is Grover Cleveland honest?,Yes.,no,Grover Cleveland,0.56684214,high,498
Was Grover Cleveland married in the whitehouse?,Who was Grover Cleveland married to in the White House?,Yes.,President,"Grover Cleveland was the second President married in office, and the only President married in the White House itself ",0.40506274,high,495
"When was he elected sheriff of Erire County, New York?","When was he elected sheriff of Erire County, New York?",Yes.,Information not found in context,"In 1871 Grover Cleveland was elected Sheriff of Erie County, New York. At age 44, he emerged into a political prominence that carried him to the White House in three years.   Running as a reformer, he was elected Mayor of Buffalo in 1881, with the slogan ""Public Office is a Public Trust"" as his trademark of office. One newspaper, in endorsing him, said it did so for three reasons: ""1. He is honest.  2. He is honest.  3. He is honest.""  In 1882, he was elected Governor of New York, working closely with reform-minded Republican state legislator Theodore Roosevelt.",0.91366994,low,479
When did he die?,When did he die?,June 24 1908,Information not found in context,"He died at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke.  His last words were alleged to be, upon being fed some soup, ""the nourishment is palatable.""  On January 7 each year, a ceremony is held at his grave site in the Forest Lawn Cemetery in Buffalo.",0.8869501,low,187
Which election did Grover Cleveland win?,Which election did Grover Cleveland win?,1884 and 1892 presidential elections,Republican presidential election,Grover Cleveland,0.5295987,high,498
Who were Grover Cleveland's parents?,Who were Grover Cleveland's parents?,"Cleveland was born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal.",Grover Cleveland's parents,Grover Cleveland,0.45347002,high,498
How many children did Grover Cleveland have?,How many children did Grover Cleveland have?,5,two,Grover Cleveland,0.5381745,high,498
Who lost control of his party to the agrarians and silverites in 1896?,Who lost control of his party in 1896?,Grover Cleveland,Information not found in context,"By the time Wilson finished Congressional Government, Grover Cleveland was President, and Wilson had his faith in the United States government restored.  When William Jennings Bryan captured the Democratic nomination from Cleveland's supporters in 1896, however, Wilson refused to stand by the ticket.  Instead, he cast his ballot for John M. Palmer, the presidential candidate of the National Democratic Party, or Gold Democrats, a short-lived party that supported a gold standard, low tariffs, and limited government.  David T. Beito and Linda Royster Beito,  ""Gold Democrats and the Decline of Classical Liberalism, 1896-1900,""Independent Review 4 (Spring 2000), 555-75.",0.88389134,low,2143
Is it true that he sent in federal troops to chicago?,Is it true that he sent in federal troops to chicago?,yes,Information not found in context,"Cleveland refused to allow Eugene Debs to use the Pullman Strike to shut down most of the nation's passenger, freight and mail traffic in June 1894. He obtained an injunction in federal court, and when the strikers refused to obey it, he sent in federal troops to Chicago, Illinois and 20 other rail centers. ""If it takes the entire army and navy of the United States to deliver a postcard in Chicago,"" he thundered, ""that card will be delivered."" Most governors supported Cleveland except Democrat John P. Altgeld of Illinois, who became his bitter foe in 1896.",1.0408484,low,507
"Was Cleveland born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal?",Did Richard Cleveland and Anne Neal have a son or daughter?,yes,Information not found in context,"Cleveland was born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal.  He was the fifth of nine children, five sons and four daughters.  He was named Stephen Grover in honor of the first pastor of the First Presbyterian Church of Caldwell, where his father was pastor at the time.  From 1841 to 1850, he lived in Fayetteville, New York  A Walking Tour of Fayetteville , but as the church frequently transferred its ministers, the family moved many times, mainly around central and southern New York State.",0.9619283,low,476
"Was Grover Cleveland elected Sheriff of Erie County, New York?","Who was elected Sheriff of Erie County, New York?",yes,Grover Cleveland,"In 1871 Grover Cleveland was elected Sheriff of Erie County, New York. At age 44, he emerged into a political prominence that carried him to the White House in three years.   Running as a reformer, he was elected Mayor of Buffalo in 1881, with the slogan ""Public Office is a Public Trust"" as his trademark of office. One newspaper, in endorsing him, said it did so for three reasons: ""1. He is honest.  2. He is honest.  3. He is honest.""  In 1882, he was elected Governor of New York, working closely with reform-minded Republican state legislator Theodore Roosevelt.",0.73508114,high,479
Was Cleveland 's portrait on the U.S. $ 1000 bill from 1928 to 1946 ?,Was Cleveland's portrait on the U.S. $ 1000 bill from 1928 to 1946?,yes,yes,Cleveland's portrait was on the U.S. $1000 bill from 1928 to 1946. He also appeared on a $1000 bill of 1907 and the first few issues of the $20 Federal Reserve notes from 1914.,0.22607532,high,526
Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church ?,Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church?,yes,Information not found in context,Cleveland died in 1908 from a heart attack with his wife at his side. He is buried in the Princeton Cemetery of the Nassau Presbyterian Church.,0.8094382,low,524
Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ?,Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements?,yes,No,"President Cleveland angered railroad investors by ordering an investigation of western lands they held by government grant, involving the return of 81,000,000 acres (328,000 kmÂ²) which is the approximately equivalent to the areas of N.Y., N.J., Pa., Dela., Md., and Va.,combined. The Department of the Interior charged that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements. The lands were forfeited and became part of public domain.",0.5708307,high,487
"Did the team , sedating Cleveland with nitrous oxide -LRB- laughing gas -RRB- , not remove his upper left jaw and portions of his hard palate ?","Did the team , sedating Cleveland with nitrous oxide -LRB- laughing gas -RRB- , not remove his upper left jaw and portions of his hard palate ?",yes,"The team, sedating Cleveland with nitrous oxide","Under the guise of a vacation cruise, Cleveland, accompanied by lead surgeon Dr. Joseph Bryant, left for New York. Bryant, joined by his assistants Dr. John F. Erdmann, Dr. W.W. Keen Jr., Dr. Ferdinand Hasbrouck (dentist and anesthesiologist), and Dr. Edward Janeway, operated aboard E. C. Benedict's yacht Oneida as it sailed off Long Island. The surgery was conducted through the President's mouth, to avoid any scars or other signs of surgery. The team, sedating Cleveland with nitrous oxide (laughing gas), removed his upper left jaw and portions of his hard palate. The size of the tumor and the extent of the operation left Cleveland's mouth severely disfigured. During another surgery, an orthodontist fitted Cleveland with a hard rubber prosthesis that corrected his speech and covered up the surgery.",0.69875264,high,519
He became chief engineer in the Department of Bridges and Highways in what year?,In what year did he become chief engineer in the Department of Bridges and Highways?,in 1894,1894,"In 1892, he became the third in his family to occupy the physics chair at the MusÃ©um National d'Histoire Naturelle. In 1894, he became chief engineer in the Department of Bridges and Highways.",0.6240947,high,829
What led Becquerel to investigate the spontaneous emission of nuclear radiation?,What led Becquerel to investigate the spontaneous emission of nuclear radiation?,phographic plates being fully exposed,photographic plates were fully exposed,"In 1896, while investigating phosphorescence in uranium salts, Becquerel accidentally discovered radioactivity. Investigating the work of Wilhelm Conrad RÃ¶ntgen, Becquerel wrapped a fluorescent substance, potassium uranyl sulfate, in photographic plates and black material in preparation for an experiment requiring bright sunlight. However, prior to actually performing the experiment, Becquerel found that the photographic plates were fully exposed. This discovery led Becquerel to investigate the spontaneous emission of nuclear radiation.",0.58991015,high,830
Is it true that he married louise désirée lorieux in 1890?,Is it true that he married louise désirée lorieux in 1890?,yes,Information not found in context,"On September 19, 1648, after many months of Pascal's friendly but insistent prodding, Florin PÃ©rier, husband of Pascal's elder sister Gilberte, was finally to carry out the fact finding mission vital to Pascal's theory. The account, written by PÃ©rier, reads:",1.1166003,low,234
Is it true that he shared the nobel prize in physics?,Is it true that he shared the nobel prize in physics?,yes,yes,"In 1903, he shared the Nobel Prize in Physics with Pierre and Marie Curie ""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity"".",0.69037634,high,833
